Generated Prompts,Response,Category
What were the sales numbers for Men's Clothing in Zone 500 in Q3 of last year?,"Call Movement API with {""product-name"" = ""Men's Clothing"", ""quarter"" = 3, ""metrics"" = [""sales""], ""location-name"" = ""Zone 500""}",Movement/Sales
Can you give me the sales figures for Beauty products in Zone 1000 for the last six months?,"Call Movement API with {""product-name"" = ""Beauty products"", ""quarter"" = ""last six months"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 1000""}",Movement/Sales
I need to see the movement of Electronics in Zone 250 for the last year.,"Call Movement API with {""product-name"" = ""Electronics"", ""quarter"" = ""last year"", ""metrics"" = [""movement""], ""location-name"" = ""Zone 250""}",Movement/Sales
How much revenue was generated from Home Decor in Zone 750 in the first quarter of this year?,"Call Movement API with {""product-name"" = ""Home Decor"", ""quarter"" = 1, ""metrics"" = [""sales""], ""location-name"" = ""Zone 750""}",Movement/Sales
What was the sales performance for Shoes in Zone 300 in Q4 of last year?,"Call Movement API with {""product-name"" = ""Shoes"", ""quarter"" = 4, ""metrics"" = [""sales""], ""location-name"" = ""Zone 300""}",Movement/Sales
Can you provide me with the sales data for Toys and Games in Zone 800 for the last six months?,"Call Movement API with {""product-name"" = ""Toys and Games"", ""quarter"" = ""last six months"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 800""}",Movement/Sales
What were the quarterly sales figures for Sports Equipment in Zone 400?,"Call Movement API with {""product-name"" = ""Sports Equipment"", ""quarter"" = ""quarterly"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 400""}",Movement/Sales
I want to see the sales numbers for Outdoor Gear in Zone 900 for the first half of this year.,"Call Movement API with {""product-name"" = ""Outdoor Gear"", ""quarter"" = ""first half of the year"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 900""}",Movement/Sales
Please give me the sales performance of Pet Supplies in Zone 150 for Q2 and Q3 of last year.,"Call Movement API with {""product-name"" = ""Pet Supplies"", ""quarter"" = [""Q2"", ""Q3""], ""metrics"" = [""sales""], ""location-name"" = ""Zone 150""}",Movement/Sales
What was the revenue generated from Jewelry sales in Zone 600 in the last year?,"Call Movement API with {""product-name"" = ""Jewelry sales"", ""quarter"" = ""last year"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 600""}",Movement/Sales
What are the sales targets for Snacks in Zone 35 for the next quarter?,"Call Budget API with {""product-name"" = ""Snacks"", ""quarter"" = ""next"", ""location-name"" = ""Zone 35""} and Call Forecast API with {""product-name"" = ""Snacks"", ""quarter"" = ""next"", ""location-name"" = ""Zone 35""}",Budget/Forecast
Can you tell me the budget goals for Frozen Foods for the entire year?,"Call Budget API with {""product-name"" = ""Frozen Foods"", ""quarter"" = ""yearly"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Frozen Foods"", ""quarter"" = ""yearly"", ""location-name"" = ""all""}",Budget/Forecast
What is the projected revenue for Beverages in Zone 20 for the next six months?,"Call Budget API with {""product-name"" = ""Beverages"", ""quarter"" = ""next-6-months"", ""location-name"" = ""Zone 20""} and Call Forecast API with {""product-name"" = ""Beverages"", ""quarter"" = ""next-6-months"", ""location-name"" = ""Zone 20""}",Budget/Forecast
How are we performing in terms of meeting the budget targets for Bakery products in the current quarter?,"Call Budget API with {""product-name"" = ""Bakery products"", ""quarter"" = ""current"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Bakery products"", ""quarter"" = ""current"", ""location-name"" = ""all""}",Budget/Forecast
What are the financial goals for Meat and Poultry for the upcoming year?,"Call Budget API with {""product-name"" = ""Meat and Poultry"", ""quarter"" = ""upcoming-year"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Meat and Poultry"", ""quarter"" = ""upcoming-year"", ""location-name"" = ""all""}",Budget/Forecast
Can you provide me with the budget projections for Produce in Zone 450 for the next quarter?,"Call Budget API with {""product-name"" = ""Produce"", ""quarter"" = ""next"", ""location-name"" = ""Zone 450""} and Call Forecast API with {""product-name"" = ""Produce"", ""quarter"" = ""next"", ""location-name"" = ""Zone 450""}",Budget/Forecast
What is the expected revenue for Seafood in the current quarter across all locations?,"Call Budget API with {""product-name"" = ""Seafood"", ""quarter"" = ""current"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Seafood"", ""quarter"" = ""current"", ""location-name"" = ""all""}",Budget/Forecast
What are the sales targets for Canned Goods for the next six months in Zone 710?,"Call Budget API with {""product-name"" = ""Canned Goods"", ""quarter"" = ""next-6-months"", ""location-name"" = ""Zone 710""} and Call Forecast API with {""product-name"" = ""Canned Goods"", ""quarter"" = ""next-6-months"", ""location-name"" = ""Zone 710""}",Budget/Forecast
How are we tracking against the budget goals for Deli products for the first half of the year?,"Call Budget API with {""product-name"" = ""Deli products"", ""quarter"" = ""first-half"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Deli products"", ""quarter"" = ""first-half"", ""location-name"" = ""all""}",Budget/Forecast
Can you give me an update on the revenue projections for Dairy in Zone 880 for the next three months?,"Call Budget API with {""product-name"" = ""Dairy"", ""quarter"" = ""next-3-months"", ""location-name"" = ""Zone 880""} and Call Forecast API with {""product-name"" = ""Dairy"", ""quarter"" = ""next-3-months"", ""location-name"" = ""Zone 880""}",Budget/Forecast
What are the Secondary KVIs for Health and Wellness in Zone 15?,"Call KVI API with {""product-name"" = ""Health and Wellness"", ""location-name"" = ""Zone 15"", type = ""Secondary""}",KVI
Can you provide me with a list of the Top KVIs for Personal Care in Zone 35?,"Call KVI API with {""product-name"" = ""Personal Care"", ""location-name"" = ""Zone 35"", type = ""Primary""}",KVI
Give me the Primary KVIs for Baby Products in Zone 20.,"Call KVI API with {""product-name"" = ""Baby Products"", ""location-name"" = ""Zone 20"", type = ""Primary""}",KVI
What are the Top KVIs for Household Supplies in Zone 85?,"Call KVI API with {""product-name"" = ""Household Supplies"", ""location-name"" = ""Zone 85"", type = ""Primary""}",KVI
Can you give me a list of Secondary KVIs for Pet Care in Zone 710?,"Call KVI API with {""product-name"" = ""Pet Care"", ""location-name"" = ""Zone 710"", type = ""Secondary""}",KVI
What are the Primary KVIs for Beauty and Cosmetics in Zone 450?,"Call KVI API with {""product-name"" = ""Beauty and Cosmetics"", ""location-name"" = ""Zone 450"", type = ""Primary""}",KVI
Provide me with the Top KVIs for Toys and Games in Zone 880.,"Call KVI API with {""product-name"" = ""Toys and Games"", ""location-name"" = ""Zone 880"", type = ""Primary""}",KVI
What are the Secondary KVIs for Office Supplies in Zone 690?,"Call KVI API with {""product-name"" = ""Office Supplies"", ""location-name"" = ""Zone 690"", type = ""Secondary""}",KVI
Give me the Primary KVIs for Snacks and Confectionery in Zone 42.,"Call KVI API with {""product-name"" = ""Snacks and Confectionery"", ""location-name"" = ""Zone 42"", type = ""Primary""}",KVI
Can you provide me with a list of Top KVIs for Home Appliances in Zone 260?,"Call KVI API with {""product-name"" = ""Home Appliances"", ""location-name"" = ""Zone 260"", type = ""Primary""}",KVI
What are the products that have had a price change in the last two weeks for Snacks in Zone 15?,"Call Cost API with {""product-name"" = ""Snacks"", ""location-name"" = ""Zone 15"", week = ""last 2"", change = ""Y""}",Price Change
Can you give me a list of all items with a cost change in the last month for Beauty and Cosmetics in Zone 35?,"Call Cost API with {""product-name"" = ""Beauty and Cosmetics"", ""location-name"" = ""Zone 35"", week = ""last month"", change = ""Y""}",Price Change
Show me the products with a price change in the last week for Beverages in Zone 20.,"Call Price API with {""product-name"" = ""Beverages"", ""location-name"" = ""Zone 20"", week = ""last week"", change = ""Y""}",Price Change
What are the items with a cost change in the last three weeks for Toys and Games in Zone 450?,"Call Cost API with {""product-name"" = ""Toys and Games"", ""location-name"" = ""Zone 450"", week = ""last 3"", change = ""Y""}",Price Change
Can you provide me with a list of all products with a price change in the last four weeks for Frozen Foods in Zone 35?,"Call Price API with {""product-name"" = ""Frozen Foods"", ""location-name"" = ""Zone 35"", week = ""last 4"", change = ""Y""}",Price Change
Show me all items with a cost change in the last two weeks for Home Appliances in Zone 880.,"Call Cost API with {""product-name"" = ""Home Appliances"", ""location-name"" = ""Zone 880"", week = ""last 2"", change = ""Y""}",Price Change
What are the products that have had a price change in the last week for Meat and Poultry in Zone 450?,"Call Price API with {""product-name"" = ""Meat and Poultry"", ""location-name"" = ""Zone 450"", week = ""last week"", change = ""Y""}",Price Change
Provide me with a list of all items with a cost change in the last month for Personal Care in Zone 15.,"Call Cost API with {""product-name"" = ""Personal Care"", ""location-name"" = ""Zone 15"", week = ""last month"", change = ""Y""}",Price Change
Show me the products with a price change in the last three weeks for Office Supplies in Zone 690.,"Call Price API with {""product-name"" = ""Office Supplies"", ""location-name"" = ""Zone 690"", week = ""last 3"", change = ""Y""}",Price Change
What are the items with a cost change in the last five days for Canned Goods in Zone 260?,"Call Cost API with {""product-name"" = ""Canned Goods"", ""location-name"" = ""Zone 260"", week = ""last 5 days"", change = ""Y""}",Price Change
What percentage of our Frozen Foods sales are from promotions in Zone 1?,"Call Movement API with {""product-name"" = ""Frozen Foods"", ""location-name"" = ""Zone 1"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Frozen Foods"", ""location-name"" = ""Zone 1"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
Can you tell me the percentage of sales from promotions for Dairy in Zone 35 in the last quarter?,"Call Movement API with {""product-name"" = ""Dairy"", ""location-name"" = ""Zone 35"", week = ""last quarter"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Dairy"", ""location-name"" = ""Zone 35"", week = ""last quarter"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
What % of our Meat and Poultry sales come from promotions for the entire year in Zone 1?,"Call Movement API with {""product-name"" = ""Meat and Poultry"", ""location-name"" = ""Zone 1"", week = ""entire year"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Meat and Poultry"", ""location-name"" = ""Zone 1"", week = ""entire year"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
How much of our sales for Canned Goods in Zone 50 are from promotions in the current quarter?,"Call Movement API with {""product-name"" = ""Canned Goods"", ""location-name"" = ""Zone 50"", week = ""current quarter"", metrics = [""sales""]} and Call Movement API with {""product-name"" = ""Canned Goods"", ""location-name"" = ""Zone 50"", week = ""current quarter"", metrics = [""sales""], ""promo"" = ""Y""} and Call Calculator API with {""operation"" = ""division"", ""data"" = [Movement API Response 2, Movement API Response 1], ""format"" = ""percent""}",Promotions Percent
