SeedId,SynthId,UtteranceIndex,Utterance,Role,Type,SythesizedBy,SynthesisTime,Category
NA,b1875b96-1e2a-483e-866d-14cf95a6a876,0,What were the sales numbers for Men's Clothing in Zone 500 in Q3 of last year?,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,b1875b96-1e2a-483e-866d-14cf95a6a876,1,"Call Movement API with {""product-name"" = ""Men's Clothing"", ""quarter"" = 3, ""metrics"" = [""sales""], ""location-name"" = ""Zone 500""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,b669daf3-17d4-485b-b90d-eb036178504f,0,Can you give me the sales figures for Beauty products in Zone 1000 for the last six months?,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,b669daf3-17d4-485b-b90d-eb036178504f,1,"Call Movement API with {""product-name"" = ""Beauty products"", ""quarter"" = ""last six months"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 1000""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,8e42d80e-da9a-44c2-8213-964220ba460a,0,I need to see the movement of Electronics in Zone 250 for the last year.,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,8e42d80e-da9a-44c2-8213-964220ba460a,1,"Call Movement API with {""product-name"" = ""Electronics"", ""quarter"" = ""last year"", ""metrics"" = [""movement""], ""location-name"" = ""Zone 250""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,fab0a42f-d521-479b-8acd-cad658b3fa57,0,How much revenue was generated from Home Decor in Zone 750 in the first quarter of this year?,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,fab0a42f-d521-479b-8acd-cad658b3fa57,1,"Call Movement API with {""product-name"" = ""Home Decor"", ""quarter"" = 1, ""metrics"" = [""sales""], ""location-name"" = ""Zone 750""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,30016750-a7c8-42db-96e8-64bd80412dfe,0,What was the sales performance for Shoes in Zone 300 in Q4 of last year?,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,30016750-a7c8-42db-96e8-64bd80412dfe,1,"Call Movement API with {""product-name"" = ""Shoes"", ""quarter"" = 4, ""metrics"" = [""sales""], ""location-name"" = ""Zone 300""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,521c7334-ca80-4abe-978b-30917ba3a4ba,0,Can you provide me with the sales data for Toys and Games in Zone 800 for the last six months?,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,521c7334-ca80-4abe-978b-30917ba3a4ba,1,"Call Movement API with {""product-name"" = ""Toys and Games"", ""quarter"" = ""last six months"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 800""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,b7c61c6f-7c2c-41bb-874c-913669f47f18,0,What were the quarterly sales figures for Sports Equipment in Zone 400?,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,b7c61c6f-7c2c-41bb-874c-913669f47f18,1,"Call Movement API with {""product-name"" = ""Sports Equipment"", ""quarter"" = ""quarterly"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 400""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,b8643138-36b8-4467-b877-4520e4981bcb,0,I want to see the sales numbers for Outdoor Gear in Zone 900 for the first half of this year.,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,b8643138-36b8-4467-b877-4520e4981bcb,1,"Call Movement API with {""product-name"" = ""Outdoor Gear"", ""quarter"" = ""first half of the year"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 900""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,7a8541c5-d9cd-492a-ba12-c79901ff784f,0,Please give me the sales performance of Pet Supplies in Zone 150 for Q2 and Q3 of last year.,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,7a8541c5-d9cd-492a-ba12-c79901ff784f,1,"Call Movement API with {""product-name"" = ""Pet Supplies"", ""quarter"" = [""Q2"", ""Q3""], ""metrics"" = [""sales""], ""location-name"" = ""Zone 150""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,37fc1c5a-31d8-4a8d-a53d-4a14f758958b,0,What was the revenue generated from Jewelry sales in Zone 600 in the last year?,User,query,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,37fc1c5a-31d8-4a8d-a53d-4a14f758958b,1,"Call Movement API with {""product-name"" = ""Jewelry sales"", ""quarter"" = ""last year"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 600""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Movement/Sales
NA,6a08eb4b-ea58-4750-bc86-ff1224fc0e0f,0,What are the sales targets for Snacks in Zone 35 for the next quarter?,User,query,Suriyadeepan Ramamoorthy,NA,Budget/Forecast
NA,6a08eb4b-ea58-4750-bc86-ff1224fc0e0f,1,"Call Budget API with {""product-name"" = ""Snacks"", ""quarter"" = ""next"", ""location-name"" = ""Zone 35""} and Call Forecast API with {""product-name"" = ""Snacks"", ""quarter"" = ""next"", ""location-name"" = ""Zone 35""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Budget/Forecast
NA,d7bd1130-be62-40e8-9280-3477e34e7832,0,Can you tell me the budget goals for Frozen Foods for the entire year?,User,query,Suriyadeepan Ramamoorthy,NA,Budget/Forecast
NA,d7bd1130-be62-40e8-9280-3477e34e7832,1,"Call Budget API with {""product-name"" = ""Frozen Foods"", ""quarter"" = ""yearly"", ""location-name"" = ""all""} and Call Forecast API with {""product-name"" = ""Frozen Foods"", ""quarter"" = ""yearly"", ""location-name"" = ""all""}",AI,api_call,Suriyadeepan Ramamoorthy,NA,Budget/Forecast
NA,b4f80837-fdeb-49d2-9008-6e0b719c1e12,0,What is the projected revenue for Beverages in Zone 20 for the next six months?,User,query,Suriyadeepan Ramamoorthy,NA,Budget/Forecast
