ITEM_NAME,ITEM_CODE,A1_ITEM_CODE,Retailer Item Code,Description,A1_RET_ITEM_CODE,A1 Item Description,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A1_ITEM_NAME,TITLE
#10 CORINTHIAN PATIO,0,0,1202526528,PROFESSIONAL SHAMPOO,157000774,SPICE - MISC & DSD SPICES,1,100,ONION WHITE 12/2 LB,
#10 CORINTHIAN PATIO,0,0,1202526528,PROFESSIONAL STYLING,157000774,BAKING PANCAKE MIX,1,100,ONION WHITE 12/2 LB,
#10 CORINTHIAN PATIO,0,0,1202526528,PROFESSIONAL STYLING,157000774,NOODLES/DUMPLINGS,1,100,ONION WHITE 12/2 LB,
#10 CORINTHIAN PATIO,914343,103089,1202526528,#10 CORINTHIAN PATIO,267146739,F.EXPRESS: HEARTS OF ROMAINE,1,100,F.EXPRESS: HEARTS OF ROMAINE,
#10 CORINTHIAN PATIO,914343,106045,1202526528,#10 CORINTHIAN PATIO,157000774,ONION WHITE 12/2 LB,1,100,ONION WHITE 12/2 LB,
#6.5 KALANCHOE,965663,113303,1202597682,#6.5 KALANCHOE,1200217613,BABY CARROTS 2LB PEELED,1,100,BABY CARROTS 2LB PEELED,
#6.5 KALANCHOE,965663,118197,1202597682,#6.5 KALANCHOE,1201171611,LAMB GROUND CS READY GRS FD,1,100,LAMB GROUND CS READY GRS FD,
#6.5 KALANCHOE,965663,108145,1202597682,#6.5 KALANCHOE,1201212922,SWEETARTS THEATER,1,100,SWEETARTS THEATER,
#9 SATIN RIBBON SILVER,25039,28493,8998657,L'UVA BELLA RED HEAD 750ML(308751),8934926,ITALIAN BREAD(316129),12,85.71428571,UTZ CHOC COVERED PRETZELS,
* ALLEGRA D 24 HR 15 CT,133039,388439,1201147172,* ALLEGRA D 24 HR 15 CT,1200000164,NON STATE FUND RX,16,61.53846154,NON STATE FUND RX,
* ALLEGRA D 24 HR 15 CT,133039,205532,1201147172,* ALLEGRA D 24 HR 15 CT,1201279527,STATE FUNDED RX COPAY-FP ELIG*,16,61.53846154,STATE FUNDED RX COPAY-FP ELIG*,
* ALLEGRA D 24 HR 15 CT,133039,434178,1201147172,* ALLEGRA D 24 HR 15 CT,1200000122,NON ST ZERO COPAY (.01),16,61.53846154,NON ST ZERO COPAY (.01),
* ALLEGRA D 24 HR 15 CT,133039,258832,1201147172,* ALLEGRA D 24 HR 15 CT,1200000124,ST FUND ZERO COPAY,16,61.53846154,ST FUND ZERO COPAY,
*ADVIL CLD/SNS LIQGEL 32CT PSE,389950,330090,1200750891,*ADVIL CLD/SNS LIQGEL 32CT PSE,1201170973,PRESCRIPTION*,2,66.66666667,PRESCRIPTION*,
*ADVIL CLD/SNS LIQGEL 32CT PSE,389950,258832,1200750891,*ADVIL CLD/SNS LIQGEL 32CT PSE,1200000124,ST FUND ZERO COPAY,2,66.66666667,ST FUND ZERO COPAY,
*ADVIL CLD/SNS LIQGEL 32CT PSE,389950,293952,1200750891,*ADVIL CLD/SNS LIQGEL 32CT PSE,1200040759,RX OTC,2,66.66666667,RX OTC,
*ADVIL CLD/SNS LIQGEL 32CT PSE,389950,205532,1200750891,*ADVIL CLD/SNS LIQGEL 32CT PSE,1201279527,STATE FUNDED RX COPAY-FP ELIG*,2,66.66666667,STATE FUNDED RX COPAY-FP ELIG*,
*ADVIL COLD & SINUS 40 CT.,317330,258832,1201740921,*ADVIL COLD & SINUS 40 CT.,1200000124,ST FUND ZERO COPAY,23,74.19354839,ST FUND ZERO COPAY,
*ADVIL COLD & SINUS 40 CT.,317330,388439,1201740921,*ADVIL COLD & SINUS 40 CT.,1200000164,NON STATE FUND RX,24,77.41935484,NON STATE FUND RX,
*ADVIL COLD & SINUS 40 CT.,317330,434178,1201740921,*ADVIL COLD & SINUS 40 CT.,1200000122,NON ST ZERO COPAY (.01),24,77.41935484,NON ST ZERO COPAY (.01),
*ADVIL COLD & SINUS 40 CT.,317330,205532,1201740921,*ADVIL COLD & SINUS 40 CT.,1201279527,STATE FUNDED RX COPAY-FP ELIG*,23,74.19354839,STATE FUNDED RX COPAY-FP ELIG*,
*ALLEGRA-D 10 CT 240MG 24HR,443989,205532,1200988273,*ALLEGRA-D 10 CT 240MG 24HR,1201279527,STATE FUNDED RX COPAY-FP ELIG*,5,71.42857143,STATE FUNDED RX COPAY-FP ELIG*,
*ALLEGRA-D 10 CT 240MG 24HR,443989,434178,1200988273,*ALLEGRA-D 10 CT 240MG 24HR,1200000122,NON ST ZERO COPAY (.01),5,71.42857143,NON ST ZERO COPAY (.01),
*ALLEGRA-D 10 CT 240MG 24HR,443989,388439,1200988273,*ALLEGRA-D 10 CT 240MG 24HR,1200000164,NON STATE FUND RX,5,71.42857143,NON STATE FUND RX,
*ALLEGRA-D 10 CT 240MG 24HR,443989,258832,1200988273,*ALLEGRA-D 10 CT 240MG 24HR,1200000124,ST FUND ZERO COPAY,5,71.42857143,ST FUND ZERO COPAY,
*ALLEGRA-D 12 HR 30CT,246298,388439,1201147173,*ALLEGRA-D 12 HR 30CT,1200000164,NON STATE FUND RX,9,75,NON STATE FUND RX,
*ALLEGRA-D 12 HR 30CT,246298,205532,1201147173,*ALLEGRA-D 12 HR 30CT,1201279527,STATE FUNDED RX COPAY-FP ELIG*,9,75,STATE FUNDED RX COPAY-FP ELIG*,
*ALLEGRA-D 12 HR 30CT,246298,454951,1201147173,*ALLEGRA-D 12 HR 30CT,1201170969,NON GOVT FUND RX*,9,75,NON GOVT FUND RX*,
