,ITEM_CODE,CATEGORY_NAME,ITEM_NAME,SUB_CATEGORY_NAME,A1_ITEM_CODE,Retailer Item Code,Description,A1_RET_ITEM_CODE,A1 Item Description,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A1_ITEM_NAME,STANDARD_UPC,RETAILER_ITEM_CODE,CATEGORY_ID,SUB_CATEGORY_ID,UPC,TITLE,DETAILED_DESCRIPTION
8395,0,EYE & EAR CARE,SAV SPX PLSTC LENS 200,FOSTER GRANT EYEWEAR,0,1202366636,"2""-5"" FOLIAGE PLANTS",995396220,ALL OTHER STATIONERY,1,50,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
9128,0,HAIR CARE,NEXXUS DRY SH REFRESH MIST,SHAMPOOS,0,1201781870,"6""- 10""BLOOMING PLANTS",995396220,ALL LAMB,2,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
13144,0,SPC HOUSEWARES,FRAME TIS THE SEASON,MD CHRISTMAS HOUSEWARES,0,1202569591,"6""-10"" BLOOMING PLANTS",995396220,VEAL & LAMB,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
346,0,AS SEEN ON TV & KAB,CORDLES RECHARGEABLE FAN,AS SEEN ON TV,0,1202429057,ACCESSORY GIFT ITEMS,995396220,VITAMINS-SINGLE LETTERS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
768,0,AS SEEN ON TV & KAB,TAC ZOOM,AS SEEN ON TV,0,1202221227,ACCESSORY GIFT ITEMS,995396220,SPECIALTY RTDT/ENERGY DRINKS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4249,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ACCESSORY GIFT ITEMS,995396220,HAIR CARE,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4276,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ACCESSORY GIFT ITEMS,995396220,MARKET DISTRICT ASIAN,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4279,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ACCESSORY GIFT ITEMS,995396220,RIVER CITY SIDE DISHES,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4282,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ACCESSORY GIFT ITEMS,995396220,BEST MARKETS CHICKEN,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4289,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ACCESSORY GIFT ITEMS,995396220,FROZEN GROCERY,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4297,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ACCESSORY GIFT ITEMS,995396220,ALL OTHER EVERYDAY GIFTS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
4310,0,BEER / WINE / ALCOHOL BEV.,LIQUID LT SAUVIGNON BLANC,WINE - PREMIUM SAUVIGON BLANC,0,1202517180,ACCESSORY GIFT ITEMS,995396220,SALADS CRUNCHY BLENDS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
7653,0,DELI,HAMTKYCHS ONLY PLATTER SM,SANDWICH TRAYS,0,1200920502,ACCESSORY GIFT ITEMS,995396220,SPECIALTY FOODS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
7865,0,ENTERTAINMENT/VIDEO,WILL & GR-BST LV & MARR DVD,TV SERIES VIDEOS,0,8922144,ACCESSORY GIFT ITEMS,995396220,CONVENIENCE FOODS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
8077,0,EYE & EAR CARE,SAV FLDNG READERS RIMLESS CS,FOSTER GRANT EYEWEAR,0,1202366764,ACCESSORY GIFT ITEMS,995396220,CHEESE,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
8402,0,EYE & EAR CARE,SAV SPX PLSTC LENS 200,FOSTER GRANT EYEWEAR,0,1202366636,ACCESSORY GIFT ITEMS,995396220,PREPARED FOODS,1,50,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
8405,0,EYE & EAR CARE,SAV SPX PLSTC LENS 200,FOSTER GRANT EYEWEAR,0,1202366636,ACCESSORY GIFT ITEMS,995396220,QUARTS,1,50,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
8552,0,EYE & EAR CARE,SUN READER,FOSTER GRANT EYEWEAR,0,1202366891,ACCESSORY GIFT ITEMS,995396220,DELI,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
13788,0,SUPPLIES,8OZ WHITE FOOD PAIL,SUPPLIES,0,8925034,ACCESSORY GIFT ITEMS,995396220,POULTRY,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
13794,0,SUPPLIES,8OZ WHITE FOOD PAIL,SUPPLIES,0,8925034,ACCESSORY GIFT ITEMS,995396220,PEPPERONI & SUMMER SAUSAGE,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
13801,0,SUPPLIES,8OZ WHITE FOOD PAIL,SUPPLIES,0,8925034,ACCESSORY GIFT ITEMS,995396220,SOUP,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
14363,0,VITAMINS,BONE STRENGTH TAKE CARE 60 T,VITAMINS-CALCIUM MINERALS,0,1201651766,ACCESSORY GIFT ITEMS,995396220,VITAMINS,1,100,NIC REESE PB HEART 6PACK,NA,NA,NA,NA,NA,NA,NA
3333,0,BEER / WINE / ALCOHOL BEV.,EPIC BIG BAD BAPTIST RESERVE,BEERS - SPECIALTY & MICRO,0,1202592775,ACTION VIDEOS,1201622732,PRETZELS,1,50,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
6045,0,BEER / WINE / ALCOHOL BEV.,THREE FLOYDS ALPHA KING 6PK,BEERS - SPECIALTY & MICRO,0,1201284279,ADHESIVE BANDAGES,1201622732,DIGITAL VIDEO DISK,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
2226,0,BEER / WINE / ALCOHOL BEV.,BIRDFISH PKT PROTCT LT KOL 4PK,BEERS - SPECIALTY & MICRO,0,1202529125,ADULT ALLERGY (NON PSE),1201622732,CLEVELAND CAVALIERS,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
2536,0,BEER / WINE / ALCOHOL BEV.,CHALET DEBONNE RIVER BLUSH,WINE - REGIONALS,0,449740000,ADULT ALLERGY (NON PSE),1201622732,TRADITIONAL WHITE BREAD,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
8752,0,FIRST AID,TC ULTRA DIG BLD PRES MONITOR,FIRST AID KITS,0,1200934671,ADULT ALLERGY (NON PSE),1201622732,PITTSBURGH PENGUINS,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
10242,0,ORAL HYGIENE,TC POWER TOOTBRUSH SMILE SONIC,ELECTIC TOOTHBRUSHES & HEADS,0,1202132210,ADULT ALLERGY (NON PSE),1201622732,WINE - PREMIUM CHARDONNAY,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
3034,0,BEER / WINE / ALCOHOL BEV.,COORS SELTZER VARIETY 12PK CAN,HARD SELTZERS,0,1202560566,ADULT COUGH / COLD / FLU,1201622732,CARROTS BASE BABY CUT,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
3035,0,BEER / WINE / ALCOHOL BEV.,COORS SELTZER VARIETY 12PK CAN,HARD SELTZERS,0,1202560566,ADULT COUGH / COLD / FLU,1201622732,POTATOES PREMIUM,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
3331,0,BEER / WINE / ALCOHOL BEV.,EPIC BIG BAD BAPTIST RESERVE,BEERS - SPECIALTY & MICRO,0,1202592775,ADULT COUGH / COLD / FLU,1201622732,DONUTS - PLU,1,50,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
3334,0,BEER / WINE / ALCOHOL BEV.,EPIC BIG BAD BAPTIST RESERVE,BEERS - SPECIALTY & MICRO,0,1202592775,ADULT COUGH / COLD / FLU,1201622732,BAGGED CITRUS LEMONS/LIMES,1,50,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
4076,0,BEER / WINE / ALCOHOL BEV.,KINKY LIQUEUR,LIQUOR-42 PROOF OR LESS,0,1201172154,ADULT COUGH / COLD / FLU,1201622732,COMEDY VIDEOS-RATED R,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
8950,0,HAIR CARE,BED HEAD MANIPULATOR MATTE,PROFESSIONAL STYLING,0,1201560834,ADULT COUGH / COLD / FLU,1201622732,PRETZELS,1,100,REAMES HOMESTYLE EGG NOODLE,NA,NA,NA,NA,NA,NA,NA
1422,0,BEER / WINE / ALCOHOL BEV.,2871D E&J BRANDY V.S.O.P.,LIQUOR - BRANDY,0,103750095,ADULT SINUS / NASAL,845457238,FLAVORED WATER,2,66.66666667,202B DEWAR'S WHITE LABEL,NA,NA,NA,NA,NA,NA,NA
5813,0,BEER / WINE / ALCOHOL BEV.,STERLING VC CHARDONNAY,WINE - PREMIUM CHARDONNAY,0,274620431,ALL EVERYDAY PLUSH,1200869101,ONIONS WHITE,1,100,PA OUTDOOR NEWS MAGAZINE,NA,NA,NA,NA,NA,NA,NA
5590,0,BEER / WINE / ALCOHOL BEV.,SEVEN MTN TICKLED PINK,WINE - REGIONALS,0,1202369745,ALL FMLY 48-64 OZ MAINSTREAM,1200190106,ALL OTHER STATIONERY,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
10323,0,PERFORMANCE & ADULT NUTRITION,REDLINE EXOTIC FRUIT 2.5,ENERGY SHOTS,0,9002622,ALL FMLY 48-64 OZ MAINSTREAM,1200190106,NEWSPAPERS,1,100,MILLER HIGH LIFE 12PK CANS,NA,NA,NA,NA,NA,NA,NA
