SessionId,ConversationId,UtteranceIndex,Utterance,Role,Type,CreatedBy,CreationTime,UseForTraining,Category
f0e5e86c-c48e-43b6-9893-e2769078eb4d,d7191fba-22f9-4ccb-b0b7-97be6754d5e8,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:47:36 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,d7191fba-22f9-4ccb-b0b7-97be6754d5e8,1,Hello,User,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:47:36 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,c049b28f-ab0e-4354-84ed-96df938ec7e3,0,What are the items with a cost change in the last five days for Canned Goods in Zone 260?,User,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:26 GMT+0530 (India Standard Time),yes,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,c049b28f-ab0e-4354-84ed-96df938ec7e3,1,"Call Cost API with {""product-name"" = ""Canned Goods"", ""location-name"" = ""Zone 260"", week = ""last 5 days"", change = ""Y""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:26 GMT+0530 (India Standard Time),yes,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,c049b28f-ab0e-4354-84ed-96df938ec7e3,1,"Call Cost API with {""product-name"" = ""Canned Goods"", ""location-name"" = ""Zone 260"", week = ""last 5 days"", change = ""Y""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:26 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,0,What are the sales targets for Canned Goods for the next six months in Zone 710?,User,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,1,I don't know.,AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,2,What were the quarterly sales figures for Sports Equipment in Zone 400?,User,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
f0e5e86c-c48e-43b6-9893-e2769078eb4d,695cf674-ffb1-41bf-a856-3c3806eacc5c,3,"Call Movement API with {""product-name"" = ""Sports Equipment"", ""quarter"" = ""quarterly"", ""metrics"" = [""sales""], ""location-name"" = ""Zone 400""}",AI,query,Suriyadeepan Ramamoorthy,Fri May 19 2023 12:53:58 GMT+0530 (India Standard Time),,
af7917d6-199c-4d16-ac49-437bba9230e0,fb4c2eef-23dc-4609-bec1-3483707d4fd8,0,Hello! How can I assist you today?,AI,system,Suriyadeepan Ramamoorthy,Fri May 19 2023 13:45:11 GMT+0530 (India Standard Time),,
